food_id,user,name,description,image_url,calories,is_for_breakfast,is_for_lunch,is_for_afternoon_tea,is_for_dinner,is_for_supper,tags,created_at,updated_at
1,1,"蛋黄莲蓉月饼","广州酒家经典款，甜而不腻","https://placehold.co/100x100/FFD700/8B4513?text=蛋黄莲蓉月饼",420,False,False,True,False,False,"月饼,中秋,甜点,广州酒家","2023-10-27 10:00:00","2023-10-27 10:00:00"
2,1,"虾饺","皮薄馅靓，广式早茶代表","https://placehold.co/100x100/FFF0F5/FF69B4?text=虾饺","45/个",True,True,True,False,False,"点心,早茶,粤菜,蒸点","2023-10-27 10:01:00","2023-10-27 10:01:00"
3,1,"干蒸烧卖","鲜肉冬菇馅，口感扎实","https://placehold.co/100x100/FFFFE0/DAA520?text=干蒸烧卖","50/个",True,True,True,False,False,"点心,早茶,粤菜,蒸点","2023-10-27 10:02:00","2023-10-27 10:02:00"
4,1,"叉烧包","松软外皮包裹蜜汁叉烧馅","https://placehold.co/100x100/FFF8DC/D2691E?text=叉烧包","180/个",True,True,False,False,False,"点心,早茶,粤菜,包点","2023-10-27 10:03:00","2023-10-27 10:03:00"
5,1,"糯米鸡","荷叶包裹糯米、鸡肉、冬菇等蒸制","https://placehold.co/100x100/F5F5DC/8B4513?text=糯米鸡",350,True,True,False,False,False,"点心,早茶,粤菜,主食","2023-10-27 10:04:00","2023-10-27 10:04:00"
6,1,"白切鸡","皮爽肉滑，原汁原味，配姜葱蓉","https://placehold.co/100x100/FAF0E6/D2691E?text=白切鸡","220/100g",False,True,False,True,False,"粤菜,正餐,肉类,经典","2023-10-27 10:05:00","2023-10-27 10:05:00"
7,1,"艇仔粥","料足味鲜的广式粥品","https://placehold.co/100x100/F8F8FF/4682B4?text=艇仔粥",180,True,True,False,True,True,"粥品,粤菜,早餐,夜宵","2023-10-27 10:06:00","2023-10-27 10:06:00"
8,1,"云吞面","鲜虾云吞搭配爽滑碱水面","https://placehold.co/100x100/FFFFF0/CD853F?text=云吞面",380,False,True,False,True,True,"面食,粤菜,主食,汤面","2023-10-27 10:07:00","2023-10-27 10:07:00"
9,1,"肠粉","米浆蒸制，可加肉或虾仁，淋酱油","https://placehold.co/100x100/FFFFFF/808080?text=肠粉",150,True,True,False,False,True,"点心,早茶,粤菜,素食可","2023-10-27 10:08:00","2023-10-27 10:08:00"
10,1,"烧鹅","皮脆肉嫩，甘香可口","https://placehold.co/100x100/B8860B/FFFFFF?text=烧鹅","350/100g",False,True,False,True,False,"烧腊,粤菜,正餐,肉类","2023-10-27 10:09:00","2023-10-27 10:09:00"
11,1,"速冻汤圆","传统甜点，糯米粉制，多种馅料","https://placehold.co/100x100/FFFFFF/FFC0CB?text=速冻汤圆","250/100g",False,False,False,False,True,"速冻,甜点,汤圆,节日食品","2023-10-27 10:10:00","2023-10-27 10:10:00"
12,1,"北京烤鸭","色泽红艳，肉质细嫩，味道醇厚，肥而不腻","https://placehold.co/100x100/8B0000/FFFFFF?text=北京烤鸭","350/100g",False,True,False,True,False,"北方菜,京菜,宴席,肉类","2023-10-27 10:11:00","2023-10-27 10:11:00"
13,1,"京酱肉丝","猪肉丝与京葱爆炒，酱香浓郁，配豆皮或薄饼","https://placehold.co/100x100/A52A2A/FFFFFF?text=京酱肉丝",280,False,True,False,True,False,"北方菜,京菜,家常菜,下饭","2023-10-27 10:12:00","2023-10-27 10:12:00"
14,1,"锅包肉","酸甜口味，外酥里嫩的东北名菜","https://placehold.co/100x100/FFB6C1/A52A2A?text=锅包肉",450,False,True,False,True,False,"北方菜,东北菜,经典,酸甜","2023-10-27 10:13:00","2023-10-27 10:13:00"
15,1,"手工饺子","北方家常主食，鲜香多汁","https://placehold.co/100x100/E6E6FA/000000?text=手工饺子","250/10个",True,True,False,True,True,"北方菜,主食,饺子,家常","2023-10-27 10:14:00","2023-10-27 10:14:00"
16,1,"地三鲜","茄子、土豆、青椒炒制，东北家常名菜","https://placehold.co/100x100/9ACD32/6B8E23?text=地三鲜",200,False,True,False,True,False,"北方菜,东北菜,素菜,家常","2023-10-27 10:15:00","2023-10-27 10:15:00"
17,1,"炸酱面","手擀面配炸酱、菜码，京味十足","https://placehold.co/100x100/DEB887/800000?text=炸酱面",400,False,True,False,True,True,"北方菜,京味,面食,主食","2023-10-27 10:16:00","2023-10-27 10:16:00"
18,1,"涮羊肉","铜锅炭火，鲜嫩羊肉片涮食，配芝麻酱等调料","https://placehold.co/100x100/D2B48C/8B4513?text=涮羊肉","300/份",False,False,False,True,True,"北方菜,火锅,羊肉,冬季","2023-10-27 10:17:00","2023-10-27 10:17:00"
19,1,"馒头","北方常见主食，面粉发酵蒸制，口感松软","https://placehold.co/100x100/F5F5F5/A9A9A9?text=馒头","100/个",True,True,False,True,False,"北方菜,主食,面点,早餐","2023-10-27 10:18:00","2023-10-27 10:18:00"
20,1,"清蒸鱼","通常为时令海鲜，体现粤菜鲜活本味","https://placehold.co/100x100/ADD8E6/00008B?text=清蒸鱼","150/100g",False,True,False,True,False,"粤菜,正餐,海鲜,健康","2023-10-27 10:19:00","2023-10-27 10:19:00"
21,1,"小米粥","黄小米熬制，养胃易消化，北方常见早餐","https://placehold.co/100x100/FFD700/B8860B?text=小米粥",90,True,True,False,True,True,"北方菜,粥品,早餐,养生","2023-10-27 10:20:00","2023-10-27 10:20:00"
22,1,"例汤","广府老火靓汤，每日不同，滋补养生","https://placehold.co/100x100/FFE4B5/A0522D?text=例汤",120,False,True,False,True,True,"汤品,粤菜,养生,日常","2023-10-27 10:21:00","2023-10-27 10:21:00"
23,1,"芝麻糊","香浓顺滑的传统中式甜汤","https://placehold.co/100x100/000000/FFFFFF?text=芝麻糊",200,False,False,True,False,True,"甜点,中式,养生,素食","2023-10-27 10:22:00","2023-10-27 10:22:00"
24,1,"豆浆","新鲜豆浆，可甜可咸","https://placehold.co/100x100/F5F5DC/A0522D?text=豆浆","70/杯",True,False,True,False,True,"饮品,早餐,健康,中式","2023-10-27 10:23:00","2023-10-27 10:23:00"
25,1,"油条","搭配豆浆的经典中式早餐","https://placehold.co/100x100/FFDEAD/D2691E?text=油条","150/根",True,False,False,False,False,"早餐,中式,油炸,面点","2023-10-27 10:24:00","2023-10-27 10:24:00"
26,1,"菜包","包含各种蔬菜馅料的蒸包","https://placehold.co/100x100/90EE90/006400?text=菜包","120/个",True,True,False,False,False,"包点,早餐,素食,中式","2023-10-27 10:25:00","2023-10-27 10:25:00"
27,1,"花卷","葱香味的面点，早餐常见","https://placehold.co/100x100/F0FFF0/2E8B57?text=花卷","130/个",True,True,False,True,False,"面点,早餐,中式,主食","2023-10-27 10:26:00","2023-10-27 10:26:00"
28,1,"鸡蛋饼","街头常见早餐，可夹各种馅料","https://placehold.co/100x100/FFD700/8B4513?text=鸡蛋饼",300,True,True,False,False,True,"早餐,街头小吃,中式,快捷","2023-10-27 10:27:00","2023-10-27 10:27:00"
29,1,"茶叶蛋","用茶叶和香料卤制的鸡蛋","https://placehold.co/100x100/A0522D/F5F5DC?text=茶叶蛋","80/个",True,True,True,False,True,"早餐,小吃,中式,蛋白质","2023-10-27 10:28:00","2023-10-27 10:28:00"
30,1,"皮蛋瘦肉粥","咸鲜可口的广式粥品","https://placehold.co/100x100/DCDCDC/696969?text=皮蛋瘦肉粥",200,True,True,False,True,True,"粥品,粤菜,早餐,养生","2023-10-27 10:29:00","2023-10-27 10:29:00"
31,1,"三明治","火腿鸡蛋或蔬菜三明治","https://placehold.co/100x100/F5DEB3/8B4513?text=三明治",350,True,True,True,False,False,"早餐,西式,快捷,轻食","2023-10-27 10:30:00","2023-10-27 10:30:00"
32,1,"水果燕麦片","燕麦片加牛奶和新鲜水果","https://placehold.co/100x100/FFB6C1/800000?text=水果燕麦片",250,True,False,True,False,False,"早餐,健康,纤维,西式","2023-10-27 10:31:00","2023-10-27 10:31:00"
33,1,"豆腐脑","咸/甜豆腐脑，滑嫩爽口","https://placehold.co/100x100/FFFFFF/C0C0C0?text=豆腐脑",100,True,False,False,False,True,"早餐,小吃,中式,豆制品","2023-10-27 10:32:00","2023-10-27 10:32:00"
